ID,TDU,REP,PRODUCT,KWH500,KWH1000,KWH2000,RATE_TYPE,TERM_LENGTH,RENEWABLE,PREPAID,TOU,PROMOTION,EFL_URL
59,AEP TEXAS CENTRAL DIVISION,TEXPO ENERGY,AutoPay E-Plan,13.7,10.8,10.4,Fixed,12,12,FALSE,FALSE,FALSE,http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-nongreen.pdf
60,AEP TEXAS CENTRAL DIVISION,TEXPO ENERGY,Clear Blue Skies AutoPay E-Plan,14.2,11.3,10.9,Fixed,12,100,FALSE,FALSE,FALSE,http://www.texpoenergy.com/Docs/texpo-efl-fixed-12-green.pdf
62,AEP TEXAS CENTRAL DIVISION,TXU ENERGY,TXU Energy MarketEdge ,13.8,12.4,11.7,Indexed,0,6,FALSE,FALSE,FALSE,http://www.txu.com/~/media/Files/Marketing/Residential/EFLs/TCXMKTEDNS00AE_ENG.pdf
66,AEP TEXAS CENTRAL DIVISION,YEP,Autopay E-Plan ,12.4,9.5,9.1,Fixed,12,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen.pdf
68,AEP TEXAS CENTRAL DIVISION,YEP,AutoPay E-Plan,10.9,8,7.6,Variable,1,12,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen.pdf
69,AEP TEXAS CENTRAL DIVISION,YEP,Green Earth Autopay E-plan ,12.8,9.9,9.5,Fixed,12,100,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-12-green.pdf
159,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC, Brilliant Freedom 36 Month,15.1,12,11.6,Fixed,36,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BF/36/P0000/EN
525,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Texas Select Variable Plan,13.5,12.8,12.4,Variable,0,9,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/TSVPRNG0_509_288_1
531,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Certified Green Texas Variable Plan,13.7,13,12.6,Variable,0,100,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/CGTVPRNG0_508_288_1
568,AEP TEXAS CENTRAL DIVISION,JUST ENERGY,RateShield 60,12.2,11.5,11.2,Fixed,60,11,FALSE,FALSE,FALSE,http://bit.ly/2lX3kzQ
618,AEP TEXAS CENTRAL DIVISION,NEC Co-op Energy,Residential Electricity... Plain and simple.,15.6,13.9,13.1,Variable,0,6,FALSE,FALSE,FALSE,https://neccoopenergy.com/residential-service/residential-prices/aep-residential-prices-fact-sheet/
893,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Lone Star Select-1 Year Term ,12.6,10.4,10.3,Fixed,12,9,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/LSS1YTRNG12_18_288_1
960,AEP TEXAS CENTRAL DIVISION,YEP,Autopay E-Plan ,11.8,8.9,8.5,Fixed,3,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-3-nongreen.pdf
910,AEP TEXAS CENTRAL DIVISION,AMIGO ENERGY,Amigo Essentials 18 Month,13,8.8,8.7,Fixed,18,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F27331_3698739.pdf
971,AEP TEXAS CENTRAL DIVISION,YEP,Autopay E-Plan ,12.5,9.6,9.2,Fixed,6,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-6-nongreen.pdf
977,AEP TEXAS CENTRAL DIVISION,YEP,Autopay E-Plan ,12.5,9.6,9.2,Fixed,9,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-9-nongreen.pdf
1005,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Lone Star Select-6 Month Term,13.1,10.9,10.8,Fixed,6,9,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/LSS6MTRNG6_19_288_1
1133,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Ambit Certified Green-1 Year Term ,12.8,10.6,10.5,Fixed,12,100,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/ACG1YTRG12_1_288_1
1306,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,12.3,9.4,9,Fixed,12,12,FALSE,FALSE,FALSE,http://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen.pdf
1311,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan,12.7,9.8,9.4,Fixed,12,100,FALSE,FALSE,FALSE,http://www.southwestpl.com/Docs/swpl-efl-fixed-12-green.pdf
1205,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Lone Star Select-3 Month Term,13.4,11.2,11.1,Fixed,3,5,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/LSS2MTRNG3_99_288_1
1386,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC,Brilliant Freedom 24 Month,14.9,11.8,11.4,Fixed,24,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BF/24/P0000/EN
1433,AEP TEXAS CENTRAL DIVISION,AP GAS & ELECTRIC (TX) LLC,Affordable Saver 12,11.3,9.5,9.5,Fixed,12,12,FALSE,FALSE,FALSE,https://enroll.apge.com/Offer/getDocument?documentId=10&offerCode=AEC_RES_12_FIXED_WEB
1526,AEP TEXAS CENTRAL DIVISION,BOUNCE ENERGY INC,Fantastic Fixed 6,12.4,11,10.3,Fixed,6,10,FALSE,FALSE,FALSE,http://www.bounceenergy.com/efls/fantasticfixed6-050217.pdf
1618,AEP TEXAS CENTRAL DIVISION,BOUNCE ENERGY INC,Easy Fixed 3,12.3,10.9,10.2,Fixed,3,10,FALSE,FALSE,FALSE,http://www.bounceenergy.com/efls/easyfixed3-050217.pdf
1821,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Texas Indepedence AutoPay E-Plan,10.8,7.9,7.5,Variable,1,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-flex-pr-nongreen.pdf
1864,AEP TEXAS CENTRAL DIVISION,YEP,Green Earth Autopay E-plan ,12.9,10,9.6,Fixed,3,100,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-fixed-3-green.pdf
1870,AEP TEXAS CENTRAL DIVISION,YEP,Green Earth Autopay E-plan ,13.4,10.5,10.1,Fixed,6,100,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-fixed-6-green.pdf
1875,AEP TEXAS CENTRAL DIVISION,YEP,Green Earth Autopay E-plan ,11.2,8.3,7.9,Variable,1,100,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-flex-pr-green.pdf
1880,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan,11.1,8.2,7.8,Variable,1,100,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-flex-pr-green.pdf
1885,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,11.7,8.8,8.4,Fixed,3,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-3-nongreen.pdf
1890,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,12.4,9.5,9.1,Fixed,6,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-6-nongreen.pdf
1953,AEP TEXAS CENTRAL DIVISION,BOUNCE ENERGY INC,Tremendous 24,11.7,10.3,9.6,Fixed,24,10,FALSE,FALSE,FALSE,http://www.bounceenergy.com/efls/tremendous24-050217.pdf
1955,AEP TEXAS CENTRAL DIVISION,BOUNCE ENERGY INC,Terrific 12,11.6,10.2,9.5,Fixed,12,10,FALSE,FALSE,FALSE,http://www.bounceenergy.com/efls/terrific12-050217.pdf
1989,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,12.5,9.6,9.2,Fixed,24,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-24-nongreen.pdf
1995,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,12.5,9.6,9.2,Fixed,18,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-18-nongreen.pdf
2001,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan,12.8,9.9,9.5,Fixed,24,100,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-24-green.pdf
2007,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan,13.3,10.4,10,Fixed,18,100,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-18-green.pdf
2014,AEP TEXAS CENTRAL DIVISION,YEP,Autopay E-Plan ,12.6,9.7,9.3,Fixed,18,12,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-fixed-18-nongreen.pdf
2019,AEP TEXAS CENTRAL DIVISION,YEP,Green Earth Autopay E-plan,13.4,10.5,10.1,Fixed,18,100,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-fixed-18-green.pdf
2024,AEP TEXAS CENTRAL DIVISION,YEP,Autopay E-Plan ,12.6,9.7,9.3,Fixed,24,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-24-nongreen.pdf
2029,AEP TEXAS CENTRAL DIVISION,YEP,Green Earth Autopay E-plan ,12.9,10,9.6,Fixed,24,100,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-24-green.pdf
2187,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan,12.8,9.9,9.5,Fixed,3,100,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-3-green.pdf
2192,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan,13.3,10.4,10,Fixed,6,100,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-6-green.pdf
2197,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan,12.8,9.9,9.5,Fixed,9,100,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-9-green.pdf
2202,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,12.4,9.5,9.1,Fixed,9,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-9-nongreen.pdf
2240,AEP TEXAS CENTRAL DIVISION,AMBIT ENERGY,Lone Star Select 24 Month Term,12.7,10.5,10.4,Fixed,24,9,FALSE,FALSE,FALSE,https://mediaserver.ambitenergy.com/media/get/LSS24MNG24RNG24_531_288_1
2242,AEP TEXAS CENTRAL DIVISION,YEP,Green Earth Autopay E-plan,12.9,10,9.6,Fixed,9,100,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-9-green.pdf
2491,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,12.7,9.8,9.4,Fixed,18,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-18-nongreen-tree.pdf
2496,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,12.5,9.6,9.2,Fixed,12,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen-tree.pdf
2501,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,12.6,9.7,9.3,Fixed,9,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-9-nongreen-tree.pdf
2506,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,12.6,9.7,9.3,Fixed,6,12,FALSE,FALSE,FALSE,http://www.southwestpl.com/Docs/swpl-efl-fixed-6-nongreen-tree.pdf
2511,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,11.9,9,8.6,Fixed,3,12,FALSE,FALSE,FALSE,http://www.southwestpl.com/Docs/swpl-efl-fixed-3-nongreen-tree.pdf
2667,AEP TEXAS CENTRAL DIVISION,TRIEAGLE ENERGY LP,Eagle 12,9.7,9.2,8.9,Fixed,12,6,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-12mo.pdf
2850,AEP TEXAS CENTRAL DIVISION,AMIGO ENERGY,Amigo Essentials 6 Month,12.4,8.2,8.1,Fixed,6,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F27336_3698739.pdf
2857,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,11,8.1,7.7,Variable,1,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-flex-pr-nongreen-tree.pdf
2942,AEP TEXAS CENTRAL DIVISION,IGS ENERGY,Fixed rate for 36 billing cycle(s).,11.9,10.5,10.5,Fixed,36,0,FALSE,FALSE,FALSE,https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTCC36FIXED09QQ00RPROMO1
2943,AEP TEXAS CENTRAL DIVISION,IGS ENERGY,Fixed rate for 36 billing cycle(s).,12.1,10.7,10.7,Fixed,36,100,FALSE,FALSE,FALSE,https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTCC36FIXED09QQ00RGGTXPROMO1
3026,AEP TEXAS CENTRAL DIVISION,IGS ENERGY,Fixed rate for 12 billing cycle(s).,11.5,10.1,10.1,Fixed,12,0,FALSE,FALSE,FALSE,https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTCC12FIXED09PP00RPROMO1
3069,AEP TEXAS CENTRAL DIVISION,TRIEAGLE ENERGY LP,Green Eagle 36,9.9,9.4,9.1,Fixed,36,100,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-36mo.pdf
3079,AEP TEXAS CENTRAL DIVISION,TRIEAGLE ENERGY LP,Green Eagle 12,10,9.5,9.2,Fixed,12,100,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-12mo.pdf
3431,AEP TEXAS CENTRAL DIVISION,IGS ENERGY,Fixed rate for 12 billing cycle(s).,11.8,10.4,10.4,Fixed,12,100,FALSE,FALSE,FALSE,https://enrollment.igsenergy.com/api/Web/FactsLabel/ETTCC12FIXED09PP00RGGTXPROMO1
3197,AEP TEXAS CENTRAL DIVISION,TRIEAGLE ENERGY LP,Eagle 36,9.5,9,8.7,Fixed,36,6,FALSE,FALSE,FALSE,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-36mo.pdf
3455,AEP TEXAS CENTRAL DIVISION,AMIGO ENERGY,Amigo Essentials 12 Month,13,8.8,8.7,Fixed,12,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F5576_3698736.pdf
3850,AEP TEXAS CENTRAL DIVISION,AMIGO ENERGY,Amigo Essentials 24 Month,12.9,8.7,8.6,Fixed,24,11,FALSE,FALSE,FALSE,https://webs.amigoenergy.com/EFLPDFs/AMI_Res_EFL_F5581_3698736.pdf
4084,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC,Brilliant Freedom 12 Month,14.7,11.6,11.2,Fixed,12,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BF/12/P0000/EN
4115,AEP TEXAS CENTRAL DIVISION,YEP,Autopay E-Plan ,13.2,10.3,9.9,Fixed,36,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-36-nongreen.pdf
4120,AEP TEXAS CENTRAL DIVISION,YEP,Green Earth Autopay E-plan,13.6,10.7,10.3,Fixed,36,100,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-36-green.pdf
4125,AEP TEXAS CENTRAL DIVISION,YEP,Operation USO AutoPay E-Plan,11.1,8.2,7.8,Variable,1,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen-uso.pdf
4135,AEP TEXAS CENTRAL DIVISION,YEP,Operation USO AutoPay E-plan,12.6,9.7,9.3,Fixed,12,12,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen-uso.pdf
4140,AEP TEXAS CENTRAL DIVISION,YEP,Operation USO AutoPay E-plan,13.4,10.5,10.1,Fixed,36,12,FALSE,FALSE,FALSE,http://www.yeptexas.com/Docs/yep-efl-fixed-36-nongreen-uso.pdf
4148,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Plant-A-Tree AutoPay E-Plan,13.3,10.4,10,Fixed,36,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-36-nongreen-tree.pdf
4153,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Spirit Of Texas AutoPay E-Plan,13.1,10.2,9.8,Fixed,36,12,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-36-nongreen.pdf
4159,AEP TEXAS CENTRAL DIVISION,SOUTHWEST POWER & LIGHT,Healthy Heart Of Texas AutoPay E-Plan ,13.5,10.6,10.2,Fixed,36,100,FALSE,FALSE,FALSE,https://www.southwestpl.com/Docs/swpl-efl-fixed-36-green.pdf
4194,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC,Brilliant Freedom 6 Month,15,11.9,11.5,Fixed,6,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BF/6/P0000/EN
4318,AEP TEXAS CENTRAL DIVISION,YEP,Operation USO AutoPay E-Plan ,12.8,9.9,9.5,Fixed,24,12,FALSE,FALSE,FALSE,https://www.yeptexas.com/Docs/yep-efl-fixed-24-nongreen-uso.pdf
4402,AEP TEXAS CENTRAL DIVISION,RELIANT,Reliant Secure Advantage 12,13.3,10.4,9.9,Fixed,12,5,FALSE,FALSE,FALSE,https://www.reliant.com/files/09017518812aa7a8.pdf
4437,AEP TEXAS CENTRAL DIVISION,JUST ENERGY,Power Flex,12,10.8,10.7,Variable,1,11,FALSE,FALSE,TRUE,http://bit.ly/2mVRrcA
4562,AEP TEXAS CENTRAL DIVISION,ENTRUST ENERGY INC,Texas Refresh 12,13.3,12.4,11.9,Fixed,12,100,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXY4F12002_20170425_eng_cd384c2f-2498-4901-8225-29bcf8c9f1aa.pdf
4566,AEP TEXAS CENTRAL DIVISION,ENTRUST ENERGY INC,Entrust 12,12.8,11.9,11.4,Fixed,12,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN4F12018_20170425_eng_1d325943-ff0f-455a-9425-eb32eba6a036.pdf
4828,AEP TEXAS CENTRAL DIVISION,PENNYWISE POWER ,Wise Buy 7,10.3,9.4,8.9,Fixed,7,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/0901751881336271.pdf
4830,AEP TEXAS CENTRAL DIVISION,PENNYWISE POWER ,Wise Buy 12,12.8,9.9,9.5,Fixed,12,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/0901751881219b79.pdf
5093,AEP TEXAS CENTRAL DIVISION,BOUNCE ENERGY INC,Fast Fixed 4,13.1,11.7,11,Fixed,4,10,FALSE,FALSE,FALSE,http://www.bounceenergy.com/efls/fastfixed4-040417.pdf
5116,AEP TEXAS CENTRAL DIVISION,ENTRUST ENERGY INC,Entrust Monthly,14.3,13.4,12.9,Variable,0,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN4V1035_20170425_eng_7c5df3a8-ac38-46bb-a8f4-0366b1761e4b.pdf
5386,AEP TEXAS CENTRAL DIVISION,SUMMER ENERGY LLC,6 Months Texas Summer Savings Product,13.5,10.8,10.4,Fixed,6,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL6MPTCSUMRES4M9ALL051117.pdf
5389,AEP TEXAS CENTRAL DIVISION,ENTRUST ENERGY INC,Entrust 3,13.7,12.8,12.3,Fixed,3,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN4F3016_20170425_eng_0d6528b5-a7df-411e-a004-27751970c48e.pdf
5394,AEP TEXAS CENTRAL DIVISION,ENTRUST ENERGY INC,Entrust 6,14.1,13.2,12.7,Fixed,6,11,FALSE,FALSE,FALSE,https://s3-us-west-2.amazonaws.com/ironhide.operations/PRODUCT/TXN4F6020_20170425_eng_ddb12cb1-0f83-4dae-b385-cd25154f0957.pdf
5442,AEP TEXAS CENTRAL DIVISION,TXU ENERGY,TXU Energy FlexPower,14.1,13.1,12.6,Indexed,0,6,TRUE,FALSE,FALSE,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCXPREPA0000AJ&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC
5504,AEP TEXAS CENTRAL DIVISION,SUMMER ENERGY LLC,9 Months Texas Summer Savings Product,13.2,10.5,10.2,Fixed,9,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL9MPTCSUMRES4M9ALL051117.pdf
5729,AEP TEXAS CENTRAL DIVISION,PENNYWISE POWER ,Wise Buy 4,12.7,10.8,9.8,Fixed,4,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/090175188133625f.pdf
5781,AEP TEXAS CENTRAL DIVISION,PENNYWISE POWER ,Wise Buy 3,10.6,9.7,9.2,Fixed,3,5,FALSE,FALSE,FALSE,https://www.pennywisepower.com/files/09017518812d4742.pdf
6030,AEP TEXAS CENTRAL DIVISION,TARA ENERGY,Tara Energy Simplicity 12,13.4,9.2,9.1,Fixed,12,11,FALSE,FALSE,FALSE,https://webs.taraenergy.com/EFLPDFS/TE_Res_EFL_F39005_3698835.pdf
6073,AEP TEXAS CENTRAL DIVISION,GEXA ENERGY,Gexa Green 12,15.3,12.4,11.9,Fixed,12,100,FALSE,FALSE,FALSE,http://www.gexaenergy.com/UI/Handlers/DynamicRatePdf.ashx?pdfid=40008&rkey=8480|1001|1000|19838
6074,AEP TEXAS CENTRAL DIVISION,GEXA ENERGY,Gexa 12,15.1,12.2,11.7,Fixed,12,6,FALSE,FALSE,FALSE,http://www.gexaenergy.com/UI/Handlers/DynamicRatePdf.ashx?pdfid=39986&rkey=8480|1320|1000|19827
6163,AEP TEXAS CENTRAL DIVISION,SUMMER ENERGY LLC,3 Months Texas Summer Savings Product,12.9,10.2,9.9,Fixed,3,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL3MPTCSUMRES4M9ALL051117.pdf
6164,AEP TEXAS CENTRAL DIVISION,SUMMER ENERGY LLC,12 Months Texas Summer Savings Product,13.1,10.4,10,Fixed,12,11,FALSE,FALSE,FALSE,https://www.summerenergy.com/PDF/EFL12MPTCSUMRES4M9ALL051117.pdf
6454,AEP TEXAS CENTRAL DIVISION,CHAMPION ENERGY SERVICES LLC,Champ Saver-12,9.7,8.8,8.4,Fixed,12,13,FALSE,FALSE,FALSE,https://www.championenergyservices.com/register/efl.aspx?rateID=170&term=12170
6459,AEP TEXAS CENTRAL DIVISION,CHAMPION ENERGY SERVICES LLC,Champ Saver-24,10.4,9.5,9.1,Fixed,24,13,FALSE,FALSE,FALSE,https://www.championenergyservices.com/register/efl.aspx?rateID=175&term=24175
6469,AEP TEXAS CENTRAL DIVISION,CHAMPION ENERGY SERVICES LLC,Green Energy-12,10,9.1,8.7,Fixed,12,100,FALSE,FALSE,FALSE,https://www.championenergyservices.com/register/efl.aspx?rateID=171&term=12171
6548,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC,Brilliant AutoSave 6 Month,14.6,11.5,11.1,Fixed,6,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/6/P0000/EN
6560,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC,Brilliant AutoSave 12 Month,14.3,11.2,10.8,Fixed,12,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/12/P0000/EN
6569,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC,Brilliant AutoSave 24 Month,14.5,11.4,11,Fixed,24,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/24/P0000/EN
6579,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC,Brilliant AutoSave 36 Month,14.7,11.6,11.2,Fixed,36,11,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BA/36/P0000/EN
6589,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC,Brilliant Green 6 Month,15.3,12.2,11.8,Fixed,6,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/6/P0000/EN
6599,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC,Brilliant Green 12 Month,15,11.9,11.5,Fixed,12,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/12/P0000/EN
6937,AEP TEXAS CENTRAL DIVISION,HINO ELECTRIC POWER COMPANY,DollarSave Prepaid,8.9,8.9,8.9,Variable,0,0,TRUE,FALSE,FALSE,https://signup.hinoelectric.com/PDFDocs/EFL_24022016101943.pdf
6616,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC,Brilliant Green 24 Month,15.2,12.1,11.7,Fixed,24,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/24/P0000/EN
6636,AEP TEXAS CENTRAL DIVISION,BRILLIANT ENERGY LLC,Brilliant Green 36 Month,15.4,12.3,11.9,Fixed,36,100,FALSE,FALSE,FALSE,https://www.mybrilliantenergy.com/agreements/efl/BG/36/P0000/EN
7008,AEP TEXAS CENTRAL DIVISION,CPL RETAIL ENERGY,The Liberty Plan,11.8,10.4,9.7,Variable,1,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=VCARXXX0117_ENG_20170502.PDF
7009,AEP TEXAS CENTRAL DIVISION,CPL RETAIL ENERGY,Price Protection Plan 24,11.6,10.2,9.5,Fixed,24,10,FALSE,FALSE,FALSE,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FCARXXX0153_ENG_20170502.PDF
